match_type,glob_feat0,len_bin,topology,mix_mode,row_i,row_j,overlap,chem_profile_id_i,chem_profile_id_j,chain_len_i,chain_len_j
chemistry_control,300.0,"(29.999, 40.0]",branch,block,155,1016,0.40000003576278687,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,236,237,0.3999999761581421,2.0,0.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,236,262,0.46666663885116577,2.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,236,409,0.3999999761581421,2.0,1.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,237,271,0.3999999165534973,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,237,285,0.4333333373069763,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,237,553,0.46666663885116577,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,237,1016,0.5333333015441895,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,262,271,0.5333333015441895,2.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,262,285,0.5333333015441895,2.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,262,553,0.43333327770233154,2.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,262,1016,0.3999999761581421,2.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,271,409,0.36666661500930786,2.0,1.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,285,409,0.36666667461395264,2.0,1.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,409,553,0.3999999761581421,1.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,block,409,1016,0.43333327770233154,1.0,2.0,30,30
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,217,374,0.49152541160583496,2.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,217,787,0.5593219995498657,2.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,217,836,0.5593220591545105,2.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,217,906,0.5593219995498657,2.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,217,1083,0.2542372941970825,2.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,374,563,0.49152541160583496,0.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,374,571,0.5593219995498657,0.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,374,836,0.49152541160583496,0.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,374,906,0.49152541160583496,0.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,374,1083,0.0,0.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,563,571,0.49152541160583496,0.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,563,787,0.5593220591545105,0.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,563,799,0.49152541160583496,0.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,563,906,0.5593220591545105,0.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,563,945,0.5593219995498657,0.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,563,1083,0.1355932354927063,0.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,571,1083,0.3220338821411133,1.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,787,836,0.49152541160583496,1.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,787,945,0.5423728823661804,1.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,787,1083,0.06779670715332031,1.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,799,836,0.49152541160583496,1.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,799,945,0.5423728823661804,1.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,799,1083,5.960464477539063e-08,1.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,836,901,0.5593219995498657,0.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,836,1083,0.20338988304138184,0.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,901,906,0.49152547121047974,2.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,901,945,0.5593220591545105,2.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,901,1083,0.305084764957428,2.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,906,1083,0.20338988304138184,2.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,junction_enriched,945,1083,0.20338988304138184,2.0,2.0,59,59
chemistry_control,300.0,"(59.0, 72.0]",branch,junction_enriched,192,255,0.5666666030883789,2.0,1.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,junction_enriched,192,615,0.46666663885116577,2.0,1.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,junction_enriched,255,494,0.6000000238418579,1.0,1.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,junction_enriched,255,773,0.5166666507720947,1.0,0.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,junction_enriched,280,494,0.46666663885116577,0.0,1.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,junction_enriched,280,900,0.5166666507720947,0.0,2.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,junction_enriched,280,1022,0.5166666507720947,0.0,1.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,junction_enriched,494,587,0.46666663885116577,1.0,1.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,junction_enriched,494,615,0.5499999523162842,1.0,1.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,junction_enriched,494,773,0.46666663885116577,1.0,0.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,junction_enriched,587,773,0.5166666507720947,1.0,0.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,junction_enriched,587,900,0.5166666507720947,1.0,2.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,junction_enriched,587,1022,0.5166666507720947,1.0,1.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,junction_enriched,615,773,0.5166666507720947,1.0,0.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,junction_enriched,615,900,0.46666663885116577,1.0,2.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,junction_enriched,615,1022,0.5666666030883789,1.0,1.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,junction_enriched,773,900,0.5166666507720947,0.0,2.0,60,60
chemistry_control,300.0,"(59.0, 72.0]",branch,junction_enriched,773,1022,0.5166666507720947,0.0,1.0,60,60
chemistry_control,300.0,"(29.999, 40.0]",branch,random,103,160,0.46666669845581055,2.0,1.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,random,103,652,0.4333333373069763,2.0,2.0,30,30
