match_type,glob_feat0,chain_len,row_i,row_j,overlap,topology_i,topology_j,ordering_i,ordering_j
chemistry_matched_structure_variation,300.0,40,128,226,0.949999988079071,linear,cyclic,random,random
chemistry_matched_structure_variation,300.0,40,128,243,0.949999988079071,linear,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,128,385,0.949999988079071,linear,cyclic,random,random
chemistry_matched_structure_variation,300.0,40,128,468,0.949999988079071,linear,cyclic,random,block
chemistry_matched_structure_variation,300.0,40,128,533,0.949999988079071,linear,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,128,560,0.949999988079071,linear,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,128,716,0.949999988079071,linear,cyclic,random,alternating
chemistry_matched_structure_variation,300.0,40,128,720,0.949999988079071,linear,cyclic,random,random
chemistry_matched_structure_variation,300.0,40,128,743,0.949999988079071,linear,linear,random,block
chemistry_matched_structure_variation,300.0,40,128,778,0.949999988079071,linear,cyclic,random,block
chemistry_matched_structure_variation,300.0,40,128,780,0.949999988079071,linear,cyclic,random,random
chemistry_matched_structure_variation,300.0,40,128,807,0.949999988079071,linear,cyclic,random,alternating
chemistry_matched_structure_variation,300.0,40,128,926,1.0,linear,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,128,952,0.949999988079071,linear,star,random,alternating
chemistry_matched_structure_variation,300.0,40,145,180,0.949999988079071,cyclic,linear,block,random
chemistry_matched_structure_variation,300.0,40,145,258,1.0,cyclic,cyclic,block,random
chemistry_matched_structure_variation,300.0,40,145,767,0.949999988079071,cyclic,linear,block,block
chemistry_matched_structure_variation,300.0,40,145,781,1.0,cyclic,cyclic,block,alternating
chemistry_matched_structure_variation,300.0,40,145,1012,1.0,cyclic,cyclic,block,alternating
chemistry_matched_structure_variation,300.0,40,145,1057,1.0,cyclic,cyclic,block,random
chemistry_matched_structure_variation,300.0,40,145,1064,0.949999988079071,cyclic,linear,block,alternating
chemistry_matched_structure_variation,300.0,40,151,268,0.949999988079071,star,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,156,165,0.949999988079071,linear,cyclic,alternating,alternating
chemistry_matched_structure_variation,300.0,40,156,249,0.949999988079071,linear,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,156,344,0.949999988079071,linear,linear,alternating,random
chemistry_matched_structure_variation,300.0,40,156,376,0.949999988079071,linear,linear,alternating,block
chemistry_matched_structure_variation,300.0,40,156,442,0.949999988079071,linear,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,156,458,0.949999988079071,linear,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,156,574,0.949999988079071,linear,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,156,670,0.949999988079071,linear,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,156,712,0.949999988079071,linear,linear,alternating,block
chemistry_matched_structure_variation,300.0,40,158,299,0.949999988079071,star,star,block,alternating
chemistry_matched_structure_variation,300.0,40,165,249,1.0,cyclic,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,165,344,0.949999988079071,cyclic,linear,alternating,random
chemistry_matched_structure_variation,300.0,40,165,376,0.949999988079071,cyclic,linear,alternating,block
chemistry_matched_structure_variation,300.0,40,165,442,0.949999988079071,cyclic,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,165,458,1.0,cyclic,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,165,574,1.0,cyclic,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,165,670,1.0,cyclic,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,165,712,0.949999988079071,cyclic,linear,alternating,block
chemistry_matched_structure_variation,300.0,40,166,491,0.949999988079071,star,star,alternating,block
chemistry_matched_structure_variation,300.0,40,166,665,0.949999988079071,star,star,alternating,block
chemistry_matched_structure_variation,300.0,40,173,223,0.949999988079071,cyclic,linear,alternating,alternating
chemistry_matched_structure_variation,300.0,40,180,258,0.949999988079071,linear,cyclic,random,random
chemistry_matched_structure_variation,300.0,40,180,767,0.949999988079071,linear,linear,random,block
chemistry_matched_structure_variation,300.0,40,180,781,0.949999988079071,linear,cyclic,random,alternating
chemistry_matched_structure_variation,300.0,40,180,889,0.949999988079071,linear,cyclic,random,block
chemistry_matched_structure_variation,300.0,40,180,1012,0.949999988079071,linear,cyclic,random,alternating
chemistry_matched_structure_variation,300.0,40,180,1057,0.949999988079071,linear,cyclic,random,random
chemistry_matched_structure_variation,300.0,40,180,1064,0.949999988079071,linear,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,191,460,1.0,cyclic,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,191,695,1.0,cyclic,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,191,983,1.0,cyclic,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,197,426,1.0,linear,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,197,525,0.949999988079071,linear,linear,random,block
chemistry_matched_structure_variation,300.0,40,197,592,1.0,linear,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,197,1087,0.949999988079071,linear,star,random,block
chemistry_matched_structure_variation,300.0,40,210,290,0.949999988079071,linear,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,210,363,0.949999988079071,linear,linear,alternating,random
chemistry_matched_structure_variation,300.0,40,210,481,0.949999988079071,linear,cyclic,alternating,random
